iso3c,country_name,entry_year,n_newspaper_sources_strong,n_official_sources_strong,n_total_strong_or_moderate,has_explicit_export_rank_label,has_explicit_generic_trade_partner_label,has_official_uptake,has_newspaper_uptake,salience_code,negative_case_candidate,coding_rationale,remaining_gaps
SLB,Solomon Islands,2003,0,0,0,false,false,false,false,unknown,no,No contemporaneous 2003-2004 Solomon Islands local/official status-rank uptake was recovered; later sources discuss China as largest export market/trading partner after the diplomatic switch.,Need 2003-2004 Solomon Star/SIBC/government archive access; GDELT DOC API is not useful for this window.
PHL,Philippines,2005,0,0,0,false,false,false,false,unknown,no,"Contemporaneous Philippine official/news sources found in this pass describe China as a third or lower export market in sectoral/monthly coverage, conflicting with the sample entry rather than proving low salience.",Audit treatment coding against Philippine official annual export rankings and China/Hong Kong aggregation.
AGO,Angola,2007,0,0,0,false,false,false,false,unknown,no,No first-window Angolan local or official source with an auditable top-rank label was recovered; later and third-country sources suggest salience but are not enough for coding.,Need Angolan newspaper/ANGOP or official archive access for 2007-2008.
CHL,Chile,2008,1,1,2,true,false,true,true,high,no,2 strong/moderate independent first-window sources use explicit rank language (first trading partner and first destination for national exports; main destination for Chilean shipments worldwide).,No major gap for salience coding; still verify archived raw files before manuscript use.
BRA,Brazil,2009,1,1,2,false,true,true,true,high,no,2 strong/moderate independent first-window sources use explicit rank language (largest Brazilian trading partner; largest trading partner).,No major gap for salience coding; still verify archived raw files before manuscript use.
MYS,Malaysia,2009,0,0,0,false,false,false,false,unknown,no,"A contemporaneous MITI/Bernama item coded China as second-largest in 2009, while later official investment material says China became largest since 2009; this is a rank-definition/timing inconsistency, not a clean negative case.","Resolve whether the treatment uses exports, total trade, or China/Hong Kong aggregation."
AUS,Australia,2010,0,0,0,false,false,false,false,unknown,no,The only fetched first-window Australian news item uses rank language in a Victorian state trade-mission context; it is not countable as country-level Australian uptake.,Need a national Australian official or media source for 2010-2011 with an auditable country-level rank label.
SLE,Sierra Leone,2012,0,0,0,false,false,false,false,unknown,no,No first-window local/official rank-label source was recovered; later local sources identify China as largest trading partner but outside 2012-2013.,"Need Sierra Leone official, Awoko, Concord Times, or State House archive search for 2012-2013."
URY,Uruguay,2013,2,0,2,false,true,false,true,high,no,2 strong/moderate independent first-window sources use explicit rank language (main trade partner; main trading partner).,No major gap for salience coding; still verify archived raw files before manuscript use.
MMR,Myanmar (Burma),2014,0,0,0,false,false,false,false,unknown,no,"The located contemporaneous rank-label item is a Chinese State Council/Xinhua source, not Myanmar local or official uptake, so it is not countable for country-level salience.","Need Myanmar-language newspaper, Myanmar national agency, or Myanmar official source for 2014-2015."
SAU,Saudi Arabia,2015,1,1,2,true,true,true,true,high,no,2 strong/moderate independent first-window sources use explicit rank language (China was the first trading partner in 2015; main destination for Saudi exports).,No major gap for salience coding; still verify archived raw files before manuscript use.
GAB,Gabon,2017,0,0,0,false,false,false,false,unknown,no,"The located Gabonese source identifies China as first economic partner for 2018 but was published after the first-window boundary, so it is not countable for entry-year uptake.","Need a 2017-2018 Gabonese newspaper or official source, not a later retrospective."
KWT,Kuwait,2018,0,0,0,false,false,false,false,unknown,no,No countable first-window source with explicit top-rank uptake was recovered.,Search queries logged: 3. Additional local-language archive work required.
QAT,Qatar,2021,1,0,1,false,true,false,true,medium,no,One strong local newspaper source in 2021 reports that China became Qatar's largest trading partner for two consecutive years.,Need an independent 2021-2022 official or second local source to upgrade to high.
